,Noise,Image Number,Leaf Area,Standardized Frechet Distance,P,R,Reflected Image Number,Total Number of Pixels,Dataset
0,0mm,128,3.09,0.02775069963696918,1.0,0.8294712712413415,128,1258044,No pillars
1,0mm,128,0.52,0.07276312340319817,1.0,0.8432055749128919,128,196346,No pillars
2,0mm,128,3.09,0.035042636865986874,1.0,0.8189079927913886,128,1186515,No pillars
3,0mm,128,1.57,0.03951043190242484,1.0,0.8106022896963664,128,575738,No pillars
4,0mm,128,0.68,0.06240673201359307,1.0,0.7905637390630191,128,259852,No pillars
5,0mm,128,1.57,0.04324343271294258,1.0,0.7668366581670917,128,1244419,No pillars
6,0mm,128,3.09,0.05302068737232293,1.0,0.688594637742405,128,2062216,No pillars
7,0mm,128,5.61,0.06670021316283208,1.0,0.5917489937797292,128,595015,No pillars
8,0mm,128,3.09,0.035543339057474,1.0,0.7135873949978644,128,1296365,No pillars
9,0mm,128,0.52,0.11925878000109066,1.0,0.8687435098650051,128,220840,No pillars
10,0mm,128,3.09,0.03194658287953848,1.0,0.6814635800898838,128,1246560,No pillars
11,0mm,128,1.57,0.04998143387900165,1.0,0.6383640277445587,128,566711,No pillars
12,0mm,128,0.68,0.05283464123713766,1.0,0.8552479815455594,128,283254,No pillars
13,0mm,128,1.57,0.03591632892710166,1.0,0.7069234493517672,128,1250021,No pillars
14,0mm,128,3.09,0.045778855057740854,1.0,0.7365535248041776,128,2106988,No pillars
15,0mm,128,5.61,0.039604760062850526,0.9900199600798403,0.7220893482531818,128,632262,No pillars
16,0mm,128,3.09,0.03112142252928091,1.0,0.817434758467518,128,1246503,No pillars
17,0mm,128,0.52,0.059266250459371964,1.0,0.7595684738541881,128,206442,No pillars
18,0mm,128,3.09,0.04250263643048752,1.0,0.8152385905603953,128,1260325,No pillars
19,0mm,128,1.57,0.058641000405619995,1.0,0.8028284244974287,128,575560,No pillars
20,0mm,128,0.68,0.046978055073239385,1.0,0.8074850520410423,128,259593,No pillars
21,0mm,128,1.57,0.03732112674208474,1.0,0.7332358959368606,128,981525,No pillars
22,0mm,128,3.09,0.04820444583790125,1.0,0.6031398548911684,128,2042653,No pillars
23,0mm,128,5.61,0.04404207903221876,0.9940119760479041,0.5376682753365507,128,600290,No pillars
24,0mm,128,3.09,0.03709766672999403,1.0,0.8610665408211421,126,1109286,Thin pillars
25,0mm,128,0.52,0.08707903963789805,1.0,0.8096707818930041,128,195727,Thin pillars
26,0mm,128,3.09,0.047193759210106156,1.0,0.7883401411065726,128,1073500,Thin pillars
27,0mm,128,1.57,0.059126563100120974,1.0,0.8066135734072022,127,562773,Thin pillars
28,0mm,128,0.68,0.06614857638414312,1.0,0.7631436314363144,128,258910,Thin pillars
29,0mm,128,1.57,0.03496117809056577,1.0,0.771610696517413,120,1002260,Thin pillars
30,0mm,128,3.09,0.03709476254638223,1.0,0.693645530215876,127,1663440,Thin pillars
31,0mm,128,5.61,0.03674966600661032,1.0,0.6038701955047213,124,577687,Thin pillars
32,0mm,128,3.09,0.02943087382255336,1.0,0.7295814116410765,126,1175533,Thin pillars
33,0mm,128,0.52,0.09150874563826107,1.0,0.8714581178903826,128,220839,Thin pillars
34,0mm,128,3.09,0.0420849059962658,1.0,0.6970786953774365,126,1164207,Thin pillars
35,0mm,128,1.57,0.05350805143550438,1.0,0.6602466398780656,126,532986,Thin pillars
36,0mm,128,0.68,0.05675253462827579,1.0,0.8267794221282594,123,272630,Thin pillars
37,0mm,128,1.57,0.022793318515687163,1.0,0.7006990542207602,123,1043200,Thin pillars
38,0mm,128,3.09,0.03419166160398171,1.0,0.7573278800272665,128,1737970,Thin pillars
39,0mm,128,5.61,0.029580251659008534,0.9900199600798403,0.7362961895843838,124,602350,Thin pillars
40,0mm,128,3.09,0.0319696725826536,1.0,0.8002119766825649,127,1118935,Thin pillars
41,0mm,128,0.52,0.05137398924097507,1.0,0.7392526568392184,128,204983,Thin pillars
42,0mm,128,3.09,0.07429324602435694,0.9900199600798403,0.7775571600481348,125,1108252,Thin pillars
43,0mm,128,1.57,0.055705194729592455,1.0,0.8409068010075567,127,563012,Thin pillars
44,0mm,128,0.68,0.041968769668772894,1.0,0.8186303387334315,128,259576,Thin pillars
45,0mm,128,1.57,0.043918849922650535,1.0,0.7649363369245837,118,793833,Thin pillars
