,Noise,Image Number,Occlusion index,"Optimal Support 
threshold",Dataset
0,0mm,128,0.7203400658987131,0.84375,No pillars
1,0mm,128,0.7254040145305514,0.96875,No pillars
2,0mm,128,0.7354153490855556,0.84375,No pillars
3,0mm,128,0.7499815637968916,0.90625,No pillars
4,0mm,128,0.7233781608385036,0.9375,No pillars
5,0mm,128,0.727557165740472,0.90625,No pillars
6,0mm,128,0.7452232346892139,0.6875,No pillars
7,0mm,128,0.7405983014646054,0.5,No pillars
8,0mm,128,0.7125437811332502,0.75,No pillars
9,0mm,128,0.6981223609041233,0.96875,No pillars
10,0mm,128,0.7235438352755774,0.6875,No pillars
11,0mm,128,0.771171754211083,0.59375,No pillars
12,0mm,128,0.7117497414927616,0.96875,No pillars
13,0mm,128,0.7324209840127732,0.8125,No pillars
14,0mm,128,0.7478960166247715,0.71875,No pillars
15,0mm,128,0.7232951078112286,0.6875,No pillars
16,0mm,128,0.7207658779576589,0.875,No pillars
17,0mm,128,0.7146419367858917,0.9375,No pillars
18,0mm,128,0.7131607561274,0.84375,No pillars
19,0mm,128,0.7493598187403369,0.875,No pillars
20,0mm,128,0.7242168405715359,0.9375,No pillars
21,0mm,128,0.7744405896197072,0.875,No pillars
22,0mm,128,0.7470487102947897,0.4375,No pillars
23,0mm,128,0.7394172091131002,0.40625,No pillars
24,0mm,128,0.7544695672478205,0.75,Thin pillars
25,0mm,128,0.7252623571783409,0.9375,Thin pillars
26,0mm,128,0.7593935973333887,0.71875,Thin pillars
27,0mm,128,0.7537660712832615,0.84375,Thin pillars
28,0mm,128,0.7263568692423388,0.90625,Thin pillars
29,0mm,128,0.7813365067598391,0.84375,Thin pillars
30,0mm,128,0.7951921703610603,0.53125,Thin pillars
31,0mm,128,0.7474846165581774,0.40625,Thin pillars
32,0mm,128,0.7393563200498132,0.6875,Thin pillars
33,0mm,128,0.7006857768256333,0.96875,Thin pillars
34,0mm,128,0.7410898037365736,0.625,Thin pillars
35,0mm,128,0.7812652575474002,0.53125,Thin pillars
36,0mm,128,0.7215142648994173,0.875,Thin pillars
37,0mm,128,0.778787311305105,0.75,Thin pillars
38,0mm,128,0.7924367287477149,0.625,Thin pillars
39,0mm,128,0.7358408767290481,0.59375,Thin pillars
40,0mm,128,0.7476380889373184,0.75,Thin pillars
41,0mm,128,0.7139802223050176,0.90625,Thin pillars
42,0mm,128,0.7463722240077967,0.6875,Thin pillars
43,0mm,128,0.7533681035885751,0.84375,Thin pillars
44,0mm,128,0.7236219801654447,0.9375,Thin pillars
45,0mm,128,0.8192173956994153,0.84375,Thin pillars
46,0mm,128,0.7991460880370201,0.34375,Thin pillars
47,0mm,128,0.7496147782750204,0.3125,Thin pillars
48,0mm,128,0.7775003891656289,0.65625,Thick pillars
49,0mm,128,0.7273212400645802,0.9375,Thick pillars
50,0mm,128,0.781488460581429,0.625,Thick pillars
51,0mm,128,0.755668814590284,0.8125,Thick pillars
52,0mm,128,0.7252699638089866,0.90625,Thick pillars
53,0mm,128,0.813434078609049,0.8125,Thick pillars
54,0mm,128,0.8256580638711152,0.46875,Thick pillars
55,0mm,128,0.7508842300650935,0.34375,Thick pillars
56,0mm,128,0.7568736379202989,0.65625,Thick pillars
57,0mm,128,0.7019859196472926,0.96875,Thick pillars
58,0mm,128,0.7548174869365073,0.625,Thick pillars
59,0mm,128,0.7907770668890878,0.46875,Thick pillars
60,0mm,128,0.7240728990411731,0.875,Thick pillars
61,0mm,128,0.8063891236055241,0.75,Thick pillars
62,0mm,128,0.8207397237774223,0.53125,Thick pillars
63,0mm,128,0.7429890917412532,0.5,Thick pillars
64,0mm,128,0.7693632601701951,0.65625,Thick pillars
65,0mm,128,0.7168250124192748,0.875,Thick pillars
66,0mm,128,0.773474111475138,0.59375,Thick pillars
67,0mm,128,0.7552899188298479,0.78125,Thick pillars
68,0mm,128,0.7233003149088173,0.9375,Thick pillars
69,0mm,128,0.8474898783851035,0.78125,Thick pillars
70,0mm,128,0.830725834095064,0.28125,Thick pillars
71,0mm,128,0.7552926668022782,0.25,Thick pillars
72,0mm,64,0.7203786581569116,0.8125,No pillars
73,0mm,64,0.7255068616492797,0.9375,No pillars
74,0mm,64,0.7357597561481359,0.84375,No pillars
75,0mm,64,0.7499554988200829,0.875,No pillars
76,0mm,64,0.7233620041361157,0.90625,No pillars
77,0mm,64,0.7276527443702567,0.875,No pillars
78,0mm,64,0.7455117401736746,0.6875,No pillars
79,0mm,64,0.7404304820992678,0.5,No pillars
80,0mm,64,0.7133172478206726,0.71875,No pillars
81,0mm,64,0.6985259873323397,0.9375,No pillars
82,0mm,64,0.7239047661012731,0.65625,No pillars
83,0mm,64,0.7715856151843111,0.5625,No pillars
84,0mm,64,0.7119318715924046,0.9375,No pillars
85,0mm,64,0.732127768216315,0.78125,No pillars
86,0mm,64,0.7483360946069469,0.6875,No pillars
87,0mm,64,0.7233383340113912,0.65625,No pillars
88,0mm,64,0.7207535543794106,0.8125,No pillars
89,0mm,64,0.7144110158966717,0.9375,No pillars
90,0mm,64,0.7131831118069092,0.84375,No pillars
91,0mm,64,0.7493083245178616,0.875,No pillars
92,0mm,64,0.7238819561947734,0.90625,No pillars
93,0mm,64,0.7750850163812052,0.84375,No pillars
94,0mm,64,0.7473463208409505,0.4375,No pillars
95,0mm,64,0.7396536818551667,0.40625,No pillars
96,0mm,64,0.7557888387297634,0.6875,Thin pillars
97,0mm,64,0.725281762295082,0.90625,Thin pillars
98,0mm,64,0.7599181458134616,0.71875,Thin pillars
99,0mm,64,0.7540038347302466,0.8125,Thin pillars
100,0mm,64,0.7262437723256251,0.875,Thin pillars
101,0mm,64,0.7794122983452909,0.8125,Thin pillars
102,0mm,64,0.7951900279936015,0.5,Thin pillars
103,0mm,64,0.7475971318144833,0.375,Thin pillars
104,0mm,64,0.7409687629721876,0.6875,Thin pillars
105,0mm,64,0.7010719386487829,0.9375,Thin pillars
106,0mm,64,0.7430872351013975,0.59375,Thin pillars
107,0mm,64,0.7808927190983805,0.5,Thin pillars
108,0mm,64,0.7217316459860876,0.84375,Thin pillars
109,0mm,64,0.7803816924480571,0.71875,Thin pillars
110,0mm,64,0.7935254084780622,0.59375,Thin pillars
111,0mm,64,0.7362794955248169,0.5625,Thin pillars
112,0mm,64,0.7478868306351183,0.6875,Thin pillars
113,0mm,64,0.7143101092896175,0.875,Thin pillars
114,0mm,64,0.7465202898851242,0.6875,Thin pillars
115,0mm,64,0.7537380991130279,0.8125,Thin pillars
116,0mm,64,0.7233385034780974,0.90625,Thin pillars
117,0mm,64,0.8155993395678679,0.78125,Thin pillars
118,0mm,64,0.7989127485146252,0.3125,Thin pillars
119,0mm,64,0.7504131916192025,0.28125,Thin pillars
120,0mm,64,0.7799067299709423,0.625,Thick pillars
121,0mm,64,0.7272766082960755,0.90625,Thick pillars
122,0mm,64,0.7839404574296023,0.625,Thick pillars
123,0mm,64,0.7560534319309952,0.78125,Thick pillars
124,0mm,64,0.7255211270915585,0.84375,Thick pillars
125,0mm,64,0.8138491166590636,0.78125,Thick pillars
126,0mm,64,0.8268202982175503,0.46875,Thick pillars
127,0mm,64,0.7508785089503661,0.3125,Thick pillars
128,0mm,64,0.7584241386467414,0.65625,Thick pillars
129,0mm,64,0.702205197466468,0.9375,Thick pillars
130,0mm,64,0.7541711162028781,0.59375,Thick pillars
131,0mm,64,0.7928241211652698,0.46875,Thick pillars
132,0mm,64,0.7258618866328257,0.84375,Thick pillars
133,0mm,64,0.8081409664911043,0.71875,Thick pillars
134,0mm,64,0.8222931187157221,0.5,Thick pillars
135,0mm,64,0.7412390663140764,0.5,Thick pillars
136,0mm,64,0.7714242164798673,0.625,Thick pillars
137,0mm,64,0.7162661450571287,0.875,Thick pillars
138,0mm,64,0.7780184703272094,0.59375,Thick pillars
139,0mm,64,0.7559949446659615,0.75,Thick pillars
140,0mm,64,0.7233032524910696,0.90625,Thick pillars
141,0mm,64,0.8508286505204662,0.78125,Thick pillars
142,0mm,64,0.8314188899680073,0.28125,Thick pillars
143,0mm,64,0.7542679515866557,0.25,Thick pillars
144,0mm,32,0.7194362287256123,0.78125,No pillars
145,0mm,32,0.724330911574764,0.875,No pillars
146,0mm,32,0.7351312051590428,0.78125,No pillars
147,0mm,32,0.7485963056391896,0.8125,No pillars
148,0mm,32,0.7226041079150216,0.84375,No pillars
149,0mm,32,0.7292681852112968,0.8125,No pillars
150,0mm,32,0.744237031535649,0.65625,No pillars
151,0mm,32,0.7398621847030105,0.46875,No pillars
152,0mm,32,0.7099094541303446,0.71875,No pillars
153,0mm,32,0.6978856184798808,0.90625,No pillars
154,0mm,32,0.7229697155061585,0.65625,No pillars
155,0mm,32,0.7737305720563106,0.5,No pillars
156,0mm,32,0.7115587986463622,0.90625,No pillars
157,0mm,32,0.7303464417534109,0.75,No pillars
158,0mm,32,0.7477890767824498,0.65625,No pillars
159,0mm,32,0.7228234336859236,0.625,No pillars
160,0mm,32,0.719445309256953,0.78125,No pillars
161,0mm,32,0.7153036512667661,0.875,No pillars
162,0mm,32,0.7124100588893958,0.78125,No pillars
163,0mm,32,0.7487666815851575,0.8125,No pillars
164,0mm,32,0.7236733878548599,0.875,No pillars
165,0mm,32,0.7730205179778543,0.8125,No pillars
166,0mm,32,0.7458880827239489,0.375,No pillars
167,0mm,32,0.7394121236777869,0.375,No pillars
168,0mm,32,0.7723173515981735,0.53125,Thin pillars
169,0mm,32,0.7246336313959265,0.8125,Thin pillars
170,0mm,32,0.7647391966988761,0.5625,Thin pillars
171,0mm,32,0.7556732647082757,0.6875,Thin pillars
172,0mm,32,0.7257238202669676,0.8125,Thin pillars
173,0mm,32,0.8124326089661178,0.65625,Thin pillars
174,0mm,32,0.8073811700182816,0.375,Thin pillars
175,0mm,32,0.7525503458096013,0.40625,Thin pillars
176,0mm,32,0.7527280510585306,0.59375,Thin pillars
177,0mm,32,0.7003073770491803,0.90625,Thin pillars
178,0mm,32,0.7533812155268942,0.53125,Thin pillars
179,0mm,32,0.7891534095532591,0.40625,Thin pillars
180,0mm,32,0.7297248072946043,0.75,Thin pillars
181,0mm,32,0.8035369924936756,0.625,Thin pillars
182,0mm,32,0.8011404536106033,0.40625,Thin pillars
183,0mm,32,0.7474064279902359,0.40625,Thin pillars
184,0mm,32,0.7607046492320465,0.53125,Thin pillars
185,0mm,32,0.7169026328862395,0.78125,Thin pillars
186,0mm,32,0.7490422697300211,0.5625,Thin pillars
187,0mm,32,0.7554291439498739,0.6875,Thin pillars
188,0mm,32,0.722927241962775,0.875,Thin pillars
189,0mm,32,0.8339705241985651,0.6875,Thin pillars
190,0mm,32,0.8098177559414992,0.3125,Thin pillars
191,0mm,32,0.7590342758340114,0.3125,Thin pillars
192,0mm,32,0.7968503528435036,0.5,Thick pillars
193,0mm,32,0.728188648782911,0.8125,Thick pillars
194,0mm,32,0.7927505391282711,0.5625,Thick pillars
195,0mm,32,0.7580432704044267,0.6875,Thick pillars
196,0mm,32,0.7260822053017484,0.78125,Thick pillars
197,0mm,32,0.8350617405548875,0.6875,Thick pillars
198,0mm,32,0.8293604319012797,0.375,Thick pillars
199,0mm,32,0.7554388730675345,0.21875,Thick pillars
200,0mm,32,0.7697436695724367,0.5625,Thick pillars
201,0mm,32,0.7021702682563338,0.90625,Thick pillars
202,0mm,32,0.7629818458922573,0.5,Thick pillars
203,0mm,32,0.8002939620799089,0.375,Thick pillars
204,0mm,32,0.7303005734160557,0.75,Thick pillars
205,0mm,32,0.8268646580682619,0.625,Thick pillars
206,0mm,32,0.8300909792047533,0.375,Thick pillars
207,0mm,32,0.7501042514239219,0.375,Thick pillars
208,0mm,32,0.7863675280199253,0.53125,Thick pillars
209,0mm,32,0.7196426353700944,0.78125,Thick pillars
210,0mm,32,0.7867864326297018,0.53125,Thick pillars
211,0mm,32,0.7575906298315567,0.6875,Thick pillars
212,0mm,32,0.722927241962775,0.875,Thick pillars
213,0mm,32,0.8587341371874093,0.6875,Thick pillars
214,0mm,32,0.8330752970749543,0.125,Thick pillars
215,0mm,32,0.7619355166802279,0.25,Thick pillars
216,1mm,128,0.7268242138854296,0.84375,No pillars
217,1mm,128,0.7364998602831595,0.9375,No pillars
218,1mm,128,0.7386520626840294,0.84375,No pillars
219,1mm,128,0.7564221559931646,0.875,No pillars
220,1mm,128,0.7331426842451588,0.9375,No pillars
221,1mm,128,0.7312905642184715,0.875,No pillars
222,1mm,128,0.7476889211037476,0.65625,No pillars
223,1mm,128,0.7477344385679414,0.5,No pillars
224,1mm,128,0.7177683297011208,0.6875,No pillars
225,1mm,128,0.7089737021857925,0.9375,No pillars
226,1mm,128,0.7272224785385476,0.6875,No pillars
227,1mm,128,0.7761183782244284,0.5625,No pillars
228,1mm,128,0.7204067963902989,0.9375,No pillars
229,1mm,128,0.7365344290424252,0.78125,No pillars
230,1mm,128,0.7505584437842779,0.6875,No pillars
231,1mm,128,0.7309544090724165,0.65625,No pillars
232,1mm,128,0.7250797789539227,0.84375,No pillars
233,1mm,128,0.7254622298807749,0.9375,No pillars
234,1mm,128,0.7173590879401153,0.84375,No pillars
235,1mm,128,0.7560871256815038,0.875,No pillars
236,1mm,128,0.7334100042301186,0.9375,No pillars
237,1mm,128,0.778313630095799,0.875,No pillars
238,1mm,128,0.7500148180415904,0.4375,No pillars
239,1mm,128,0.7454720555329537,0.40625,No pillars
240,1mm,128,0.75826198630137,0.75,Thin pillars
241,1mm,128,0.7370470845752608,0.9375,Thin pillars
242,1mm,128,0.7635676294944636,0.71875,Thin pillars
243,1mm,128,0.7595842826918383,0.8125,Thin pillars
244,1mm,128,0.7343044980259446,0.90625,Thin pillars
245,1mm,128,0.7840872273255092,0.8125,Thin pillars
246,1mm,128,0.7975532378313528,0.53125,Thin pillars
247,1mm,128,0.7537238100081368,0.40625,Thin pillars
248,1mm,128,0.7416056973848069,0.65625,Thin pillars
249,1mm,128,0.7118049087183307,0.9375,Thin pillars
250,1mm,128,0.7448977211462697,0.625,Thin pillars
251,1mm,128,0.7863205915859712,0.53125,Thin pillars
252,1mm,128,0.7297277448768564,0.875,Thin pillars
253,1mm,128,0.7816465703147679,0.71875,Thin pillars
254,1mm,128,0.7946065899223034,0.59375,Thin pillars
255,1mm,128,0.7416350945890968,0.5625,Thin pillars
256,1mm,128,0.7523846123910336,0.75,Thin pillars
257,1mm,128,0.7286369069796323,0.90625,Thin pillars
258,1mm,128,0.7502267967486418,0.65625,Thin pillars
259,1mm,128,0.7598722688990154,0.8125,Thin pillars
260,1mm,128,0.73292089678511,0.9375,Thin pillars
261,1mm,128,0.8208487123128603,0.8125,Thin pillars
262,1mm,128,0.8016640839236746,0.34375,Thin pillars
